Taxa	K00001
s__Bacteroides_xylanisolvens	0
s__Staphylococcus_epidermidis	3.571
s__Collinsella_intestinalis	0
s__Staphylococcus_hominis	3
s__Streptococcus_gordonii	1
s__Propionibacterium_acnes	0
s__Herbaspirillum_seropedicae	1
s__Methanobrevibacter_unclassified	0
s__Mycobacterium_unclassified	2.5
s__Bacteroides_uniformis	0
s__Bifidobacterium_unclassified	0.906
s__Fusobacterium_gonidiaformans	0
s__Bacteroides_pectinophilus	0
s__Desulfovibrio_piger	0
s__Streptococcus_pneumoniae	1.952
s__Clostridium_scindens	0
s__Clostridium_perfringens	0
s__Ruminococcus_obeum	0
s__Prevotella_bergensis	0
s__Haemophilus_parainfluenzae	0
s__Listeria_monocytogenes	0
s__Eubacterium_hallii	1
s__Faecalibacterium_cf	0
s__Neisseria_meningitidis	0.375
s__Blautia_unclassified	2
s__Prochlorococcus_marinus	0
s__Veillonella_unclassified	0
s__Ruminococcus_gnavus	0
s__Lactobacillus_crispatus	1.666
s__Methanobrevibacter_smithii	0
s__Prevotella_melaninogenica	0
s__Bifidobacterium_breve	1
s__Streptococcus_oralis	1
s__Enterococcus_faecium	0
s__Pasteurella_unclassified	0
s__Pyramidobacter_piscolens	1
s__Gemella_unclassified	0
s__Alkaliphilus_unclassified	0.5
s__Lactobacillus_acidophilus	1
s__Lactobacillus_brevis	1.5
s__Mycobacterium_abscessus	2
s__Bacteroides_unclassified	0.416
s__Methylobacterium_radiotolerans	1
s__Pantoea_ananatis	1
s__Bifidobacterium_catenulatum	1
s__Acinetobacter_unclassified	1.777
s__Veillonella_parvula	0
s__Actinomyces_urogenitalis	1
s__Pseudomonas_putida	0.2
s__Campylobacter_gracilis	0
s__Rothia_mucilaginosa	0
s__Eubacterium_limosum	0
s__Streptococcus_cristatus	1
s__Corynebacterium_aurimucosum	1
s__Rhodopseudomonas_palustris	3.714
s__Clostridium_asparagiforme	0
s__Fusobacterium_varium	1
s__Selenomonas_artemidis	0
s__Neisseria_lactamica	1
s__Streptococcus_salivarius	1
s__Capnocytophaga_gingivalis	0
s__Haemophilus_unclassified	0
s__Klebsiella_unclassified	1.166
s__Burkholderia_cenocepacia	2
s__Treponema_phagedenis	0
s__Afipia_unclassified	3
s__Lactobacillus_casei	1.666
s__Megamonas_hypermegale	0
s__Campylobacter_curvus	0
s__Leptotrichia_goodfellowii	0
s__Rothia_unclassified	0
s__Bacteroides_thetaiotaomicron	0
s__Pediococcus_acidilactici	2.5
s__Cronobacter_unclassified	0.5
s__Neisseria_mucosa	1
s__Kingella_oralis	0
s__Staphylococcus_capitis	4
s__Enterococcus_gallinarum	0
s__Bacteroides_ovatus	0
s__Streptobacillus_moniliformis	0
s__Pseudoflavonifractor_capillosus	0
s__Eikenella_corrodens	1
s__Histophilus_somni	0
s__Lactobacillus_iners	0
s__Streptococcus_suis	0.888
s__Selenomonas_sputigena	0
s__Capnocytophaga_unclassified	0
s__Peptostreptococcus_stomatis	0
s__Staphylococcus_lugdunensis	3
s__Subdoligranulum_variabile	0
s__Lactococcus_lactis	1
s__Paracoccus_denitrificans	2
s__Veillonella_dispar	0
s__Porphyromonas_gingivalis	0
s__Anaerococcus_unclassified	0
s__Roseburia_intestinalis	0
s__Granulicatella_adiacens	0
s__Granulicatella_unclassified	0
s__Lactobacillus_ruminis	1
s__Xanthomonas_campestris	0.666
s__Mitsuokella_multacida	1
s__Fusobacterium_nucleatum	0
s__Lactobacillus_helveticus	0
s__Collinsella_aerofaciens	0
s__Leuconostoc_mesenteroides	0
s__Ureaplasma_unclassified	0
s__Brachyspira_unclassified	1
s__Streptococcus_agalactiae	1.125
s__Streptococcus_pyogenes	1.133
s__Lautropia_mirabilis	0
s__Lactobacillus_fermentum	0.75
s__Streptococcus_anginosus	0
s__Acinetobacter_johnsonii	4
s__Proteus_mirabilis	0
s__Psychrobacter_arcticus	3
s__Bacteroides_finegoldii	0
s__Acinetobacter_radioresistens	2
s__Blautia_hydrogenotrophica	4
s__Ruminococcus_bromii	0
s__Anaerococcus_vaginalis	0
s__Parascardovia_denticolens	0
s__Actinomyces_odontolyticus	0
s__Lactobacillus_oris	3
s__Cryptobacterium_curtum	0
s__Streptococcus_bovis	0
s__Ruminococcus_torques	0
s__Rothia_dentocariosa	0
s__Selenomonas_flueggei	0
s__Clostridium_methylpentosum	1
s__Bifidobacterium_animalis	1
s__Sutterella_wadsworthensis	1
s__Peptoniphilus_lacrimalis	0
s__Clostridium_hiranonis	0
s__Eubacterium_siraeum	0
s__Clostridium_bartlettii	0
s__Pediococcus_unclassified	2
s__Collinsella_unclassified	0
s__Treponema_vincentii	0
s__Streptococcus_dysgalactiae	0
s__Streptococcus_australis	2
s__Corynebacterium_amycolatum	0
s__Pasteurella_dagmatis	0
s__Lactobacillus_gasseri	0
s__Campylobacter_hominis	0
s__Corynebacterium_matruchotii	0
s__Alistipes_shahii	0
s__Jonquetella_anthropi	0
s__Eubacterium_saphenum	0
s__Bifidobacterium_longum	0.909
s__Roseburia_inulinivorans	0
s__Clostridium_cf	0.4
s__Bacteroides_stercoris	0
s__Methylobacterium_unclassified	0.125
s__Neisseria_sicca	1
s__Simonsiella_muelleri	1
s__Leptotrichia_buccalis	0
s__Lactobacillus_paracasei	1.5
s__Bacteroides_caccae	0
s__Streptococcus_mutans	1
s__Neisseria_cinerea	1
s__Oxalobacter_formigenes	1.5
s__Coprobacillus_bacterium	0
s__Clostridium_hathewayi	0
s__Bacteroides_salanitronis	2
s__Roseiflexus_castenholzii	1
s__Anaerococcus_lactolyticus	0
s__Enterobacter_unclassified	0.8
s__Klebsiella_variicola	1
s__Mobiluncus_unclassified	0
s__Bacteroides_eggerthii	0
s__Marvinbryantia_formatexigens	1
s__Clostridium_difficile	1
s__Shuttleworthia_satelles	1
s__Sphingopyxis_alaskensis	0
s__Marinomonas_unclassified	2.5
s__Prevotella_disiens	0
s__Parabacteroides_merdae	0
s__Bacteroides_dorei	3
s__Streptococcus_mitis	1
s__Prevotella_multiformis	0
s__Klebsiella_pneumoniae	1.25
s__Lactobacillus_vaginalis	1
s__Prevotella_amnii	0
s__Neisseria_subflava	1
s__Shigella_sonnei	0
s__Clostridium_hylemonae	1
s__Streptococcus_vestibularis	0.5
s__Ureaplasma_parvum	0
s__Dorea_unclassified	0
s__Citrobacter_unclassified	0.5
s__Escherichia_coli	0
s__Bacteroides_coprocola	1
s__Capnocytophaga_ochracea	0
s__Prevotella_timonensis	0
s__Lactobacillus_rhamnosus	0
s__Dialister_microaerophilus	0
s__Porphyromonas_asaccharolytica	0
s__Actinomyces_oris	0
s__Leuconostoc_citreum	0
s__Peptoniphilus_duerdenii	0
s__Prevotella_oris	0
s__Haemophilus_influenzae	0
s__Bacteroides_vulgatus	1
s__Kocuria_rhizophila	2
s__Bifidobacterium_bifidum	1
s__Fusobacterium_mortiferum	0
s__Clostridium_saccharolyticum	0
s__Campylobacter_showae	0
s__Prevotella_oralis	0
s__Gordonibacter_pamelaeae	0
s__Propionibacterium_freudenreichii	0
s__Anaerofustis_stercorihominis	2
s__Actinobacillus_unclassified	0
s__Lactobacillus_reuteri	0.857
s__Treponema_denticola	0
s__Prevotella_salivae	0
s__Shigella_dysenteriae	0
s__Neisseria_unclassified	0.837
s__Slackia_exigua	0
s__Peptostreptococcus_anaerobius	1
s__Psychrobacter_cryohalolentis	2
s__Kingella_denitrificans	1
s__Campylobacter_rectus	0
s__Peptoniphilus_harei	0
s__Deinococcus_radiodurans	0
s__Brucella_ceti	3
s__Gemella_haemolysans	0
s__Pseudomonas_aeruginosa	0
s__Megasphaera_micronuciformis	0
s__Anaerococcus_hydrogenalis	0
s__Enterobacter_cancerogenus	1
s__Dorea_formicigenerans	0
s__Mannheimia_haemolytica	0
s__Staphylococcus_aureus	0.478
s__Escherichia_unclassified	0
s__Acidovorax_unclassified	0.25
s__Streptococcus_parasanguinis	1.666
s__Coprococcus_comes	0
s__Dialister_invisus	0
s__Shigella_boydii	0
s__Anaerotruncus_colihominis	1
s__Anaerostipes_caccae	0
s__Corynebacterium_jeikeium	0
s__Cellulophaga_unclassified	0
s__Roseburia_unclassified	0
s__Finegoldia_magna	0
s__Catenibacterium_mitsuokai	0
s__Catonella_morbi	0
s__Granulicella_unclassified	0.5
s__Neisseria_flavescens	1
s__Kingella_unclassified	0.5
s__Coprococcus_eutactus	0
s__Eubacterium_ventriosum	1
s__Rhodobacter_sphaeroides	1.25
s__Actinomyces_viscosus	0
s__Prevotella_marshii	0
s__Faecalibacterium_unclassified	0
s__Acinetobacter_junii	2
s__Corynebacterium_accolens	0
s__Burkholderia_unclassified	0.869
s__Parvimonas_micros	0
s__Clostridium_symbiosum	0
s__Mycoplasma_hominis	0
s__Collinsella_stercoris	0
s__Victivallis_vadensis	1
s__Clostridium_nexile	0
s__Escherichia_fergusonii	0
s__Psychrobacter_unclassified	2
s__Bacteroides_coprophilus	1
s__Eubacterium_rectale	0
s__Fusobacterium_periodonticum	0
s__Propionibacterium_unclassified	0
s__Enterobacter_cloacae	0.666
s__Staphylococcus_saprophyticus	3
s__Bacteroides_helcogenes	1
s__Blautia_hansenii	0
s__Streptococcus_thermophilus	1.5
s__Desulfovibrio_desulfuricans	2
s__Streptococcus_peroris	1
s__Selenomonas_unclassified	0
s__Acidaminococcus_fermentans	1
s__Anaerococcus_tetradius	0
s__Pasteurella_multocida	0
s__Clostridium_leptum	2
s__Holdemania_filiformis	0
s__Staphylococcus_pseudintermedius	0.5
s__Prevotella_buccae	0
s__Aggregatibacter_actinomycetemcomitans	0
s__Enterococcus_faecalis	0
s__Neisseria_gonorrhoeae	0.941
s__Methanosphaera_stadtmanae	0
s__Ruminococcus_lactaris	0
s__Aggregatibacter_segnis	0
s__Neisseria_polysaccharea	1
